algorithm,device,size_bytes,rounds,enc_ms_mean,enc_ms_median,enc_ms_std,enc_ms_min,enc_ms_max,dec_ms_mean,dec_ms_median,dec_ms_std,dec_ms_min,dec_ms_max,total_time_ms_mean,total_time_ms_median,total_time_ms_std,total_time_ms_min,total_time_ms_max,energy_J_mean,energy_J_median,energy_J_std,energy_J_min,energy_J_max,enc_mem_bytes_mean,enc_mem_bytes_median,enc_mem_bytes_std,enc_mem_bytes_min,enc_mem_bytes_max,dec_mem_bytes_mean,dec_mem_bytes_median,dec_mem_bytes_std,dec_mem_bytes_min,dec_mem_bytes_max,total_mem_bytes_mean,total_mem_bytes_median,total_mem_bytes_std,total_mem_bytes_min,total_mem_bytes_max,throughput_kb_per_ms_mean,throughput_kb_per_ms_median,throughput_kb_per_ms_std,throughput_kb_per_ms_min,throughput_kb_per_ms_max,size_kb,size_mb
ASCON,D1,262144,5,14.5954444,14.579938,0.10556761446248576,14.437095,14.709809,22.972342599999998,22.716307,0.5571608769882358,22.6916,23.967435,37.567786999999996,37.294517,0.6303895975382999,37.128695,38.677244,0.00196921332,0.00196921332,0.0,0.00196921332,0.00196921332,461471.6,426988.0,118734.36363707011,336794,631459,169999.2,175743.0,98804.31672098138,59894,304834,631470.8,645970.0,139394.02950162534,427337,807202,6.815852891332634,6.864279808208805,0.1120554241443483,6.6188790493965906,6.894936652096175,256.0,0.25
ChaCha20,D1,1024,5,1.393367,1.399858,0.15085010981268793,1.204737,1.558563,1.4908518000000002,1.542334,0.1730284762696591,1.222976,1.668695,2.8842188,2.9905340000000002,0.3117165904226145,2.427713,3.188784,0.000170696052,0.000170696052,0.0,0.000170696052,0.000170696052,9698.8,9666.0,73.34302966199306,9666,9830,4849.4,4915.0,89.82649943084718,4751,4915,14548.2,14581.0,137.21224435158857,14417,14745,0.35019166801685386,0.3343884403253733,0.04032167700968414,0.3135991650735829,0.4119103040598292,1.0,0.0009765625
ChaCha20,D1,2048,5,1.4473116000000001,1.43612,0.02545405571416859,1.42524,1.490217,1.6302464,1.635498,0.0722679961206895,1.519673,1.707264,3.077558,3.071211,0.08137157331648452,2.955793,3.168559,0.00010321516799999999,0.000103215168,0.0,0.000103215168,0.000103215168,18709.8,18677.0,73.3430296619933,18677,18841,9011.0,9011.0,0.0,9011,9011,27720.8,27688.0,73.3430296619933,27688,27852,0.6502337697148651,0.6512089205202769,0.0173959498641416,0.6312017544883968,0.6766373693963008,2.0,0.001953125
ChaCha20,D1,4096,5,1.5472526,1.551212,0.1111378217970822,1.422142,1.716316,1.8020456,1.764763,0.06003215499880051,1.749731,1.882243,3.3492982,3.4016200000000003,0.13470593395875335,3.1718729999999997,3.479399,0.00011741061600000001,0.00011741061600000001,0.0,0.00011741061600000001,0.00011741061600000001,37420.6,37355.0,89.82649943084708,37355,37519,17367.0,17367.0,0.0,17367,17367,54787.6,54722.0,89.82649943084708,54722,54886,1.1958501001387531,1.1759103015621968,0.048806123935312674,1.1496238287129472,1.2610845390089704,4.0,0.00390625
ChaCha20,D1,8192,5,1.6511412,1.577993,0.20059471502061088,1.501701,2.002613,2.5763006,2.627236,0.15099213808109352,2.372737,2.725903,4.227441799999999,4.267109,0.14669383511143186,4.026452,4.37535,0.000161984556,0.000161984556,0.0,0.000161984556,0.000161984556,75267.6,75202.0,186.98876971625975,75038,75530,34078.0,34078.0,0.0,34078,34078,109345.6,109280.0,186.98876971625975,109116,109608,1.8942451583853388,1.8748056353845193,0.06657457529006909,1.8284251545590637,1.9868608889414303,8.0,0.0078125
ChaCha20,D1,16384,5,1.9767218,1.914205,0.12031207917827698,1.88525,2.17936,3.0760968,3.21395,0.2970236279720857,2.563861,3.279051,5.0528186,5.164301,0.31261956633310717,4.557361,5.39331,0.00023872708800000002,0.00023872708800000002,0.0,0.00023872708800000002,0.00023872708800000002,96144.2,96015.0,1092.9170599821393,94662,97611,32983.4,21425.0,27948.240280919297,18027,82903,129127.6,117440.0,28244.894127965854,113795,179568,3.176715225997788,3.098192766068438,0.20565852515224442,2.9666382981879407,3.510803730492274,16.0,0.015625
ChaCha20,D1,32768,5,2.79133,2.666328,0.2903989188659283,2.551363,3.22671,3.5874270000000004,3.580824,0.0159941251245573,3.572455,3.605101,6.378757,6.247152,0.2962663928797865,6.123818,6.831811,0.00039480912,0.00039480912,0.0,0.00039480912,0.00039480912,101689.0,103796.0,21433.22690357194,70576,123661,59478.2,86021.0,37356.6720238835,18559,87126,161167.2,177856.0,48456.48855107022,89135,210787,5.025074363199968,5.122334145223295,0.22677451199844048,4.683970326462486,5.2254982104301595,32.0,0.03125
ChaCha20,D1,65536,5,3.9434814000000005,3.948154,0.020052876983116304,3.910353,3.962436,6.255501,6.250808,0.1460193698127068,6.032347,6.426843,10.1989824,10.205549,0.14116516159732892,9.994783,10.368566,0.0007450581600000001,0.0007450581600000001,0.0,0.0007450581600000001,0.0007450581600000001,203871.6,234257.0,65084.2988193005,88028,240273,68003.4,66856.0,4341.698665269159,62679,73123,271875.0,297100.0,62434.65965711673,161151,312003,6.276101737292794,6.271098203536136,0.08723716770464945,6.172502542781712,6.403340622802916,64.0,0.0625
ChaCha20,D1,131072,5,6.8476604000000005,6.788602,0.14052671641115097,6.769393,7.098423,10.889760599999999,10.883165,0.02662241531679667,10.859316,10.931723,17.737421,17.690558,0.1259228034452067,17.649922,17.957739,0.00141392088,0.00141392088,0.0,0.00141392088,0.00141392088,135113.6,126774.0,37480.4837522143,86961,190549,66195.6,67753.0,14498.569336317289,48828,87003,201309.2,194527.0,34072.21899436548,157416,239377,7.216670200193256,7.235498168005781,0.050800798175543734,7.127846105793163,7.2521566950834115,128.0,0.125
ChaCha20,D1,262144,5,12.913211200000001,12.660825,0.45527562805425836,12.447285,13.435141,20.790375,20.729997,0.23020356609857381,20.627605,21.193135,33.703586200000004,33.846331,0.4440895945985438,33.177282000000005,34.111947,0.00279760896,0.00279760896,0.0,0.00279760896,0.00279760896,264124.6,332889.0,126964.93936634633,104128,368688,92824.8,93357.0,14313.278859157324,77218,109654,356949.4,412777.0,126557.91042562295,213782,469008,7.596689486589033,7.563596775083243,0.10042854953228142,7.5047020916161715,7.71612334006143,256.0,0.25
